id,type,isCreepy,파일명,대본
A-01,라디오 사연,FALSE,A-01,"3812님의 사연이네요.
'디제이님, 김치찌개랑 돈가스 가게 사이에서 15분째 서성이고 있어요. 사장님들이 쳐다보시는데 민망하네요. 제발 골라주세요.'
허허, 15분이면... 벌써 식사 절반은 하셨을 시간인데. 한국인은 밥심이라지만, 오늘은 돈가스 어떠세요? 오후에 스트레스받을 일 있을 때, 바삭한 거 씹으면서 넘겨버리는 거죠. 3812님, 더 고민하지 마시고 지금 바로 돈가스집 문 여세요. 맛있게 드십시오."
A-02,라디오 사연,FALSE,A-02,"이번엔 '봄바람' 님이 보내주셨습니다.
'옆자리 대리님이 탕비실만 가면 제 커피를 챙겨주세요. 어제는 믹스였는데 오늘은 아메리카노네요. 이거 저 좋아하는 거 맞죠?'
음~ 믹스에서 아메리카노라... 투자가 늘어났네요. 이 정도면 관심의 표현 맞습니다. 오늘 점심 드시고 슬쩍, '대리님, 커피 잘 마셨어요. 저녁은 제가 살게요' 하고 던져보세요. 대리님 표정이 어떻게 변하나 후기 기다리고 있을게요."
A-03,라디오 사연,FALSE,A-03,"아이디가 '퇴사마렵다' 님이시네요. 이름부터 절박함이 느껴집니다.
'우리 부장님, 입만 열면 라떼는 말이야 하시는데... 정작 본인은 80년대생이시거든요. 듣고 있자니 귀에서 피가 날 것 같아요.'
직장인이라면 누구나 공감하죠. 사실 그 '라떼'는 본인이 외로워서 타시는 걸 수도 있어요. '퇴사마렵다'님, 그냥 라디오 주파수 맞추듯이 한 귀로 듣고 한 귀로 흘려보내세요. 고개만 끄덕여주시고, 속으론 오늘 저녁 메뉴 생각하는 겁니다. 힘내세요."
A-04,라디오 사연,FALSE,A-04,"7788님 사연입니다.
'큰맘 먹고 6개월 치 헬스를 끊었는데, 샤워하러 딱 세 번 갔습니다. 관장님이 저를 기부천사라고 부른대요.'
관장님께 아주 따뜻한 겨울을 선물하셨군요. 괜찮습니다. 운동은 원래 내일부터 하는 거고, 다이어트는 포토샵이 해주는 거니까요. 괜히 자책해서 스트레스받지 마시고, 오늘은 그냥 맛있는 거 드세요. 기분이 좋아야 살도 빠지는 법입니다."
A-05,라디오 사연,FALSE,A-05,"월요병환자' 님이 보내주셨어요.
'일요일 저녁만 되면 심장이 쿵쾅대고 식은땀이 나요. 내일 출근할 생각만 하면 토할 것 같습니다.'
그 기분 저도 잘 알죠. 일요일 밤 공기는 유독 무거운 것 같아요. 하지만 우리 통장을 스쳐 지나간 카드값들이 우릴 기다리고 있잖아요? 그 친구들을 위해서라도 눈 딱 감고 내일 하루만 버텨봅시다. 그러다 보면 또 주말이 와 있을 거예요."
A-06,라디오 사연,FALSE,A-06,"9910님. 
'작년에 입던 코트 주머니에서 꼬깃꼬깃한 5만 원짜리 발견했어요! 과거의 제가 용돈을 숨겨놨나 봐요.'
와, 5만 원이면 꽤 큰데요? 작년 겨울의 9910님이 미래를 위해 적금을 들어두셨네요. 이런 날은 가볍게 복권 한 장 사보시는 것도 좋죠. 그 기분 좋은 에너지 그대로, 이번 주 내내 행운이 따르길 바라겠습니다. 축하드려요."
A-07,라디오 사연,FALSE,A-07,"이번 사연은 '슈퍼맘' 님입니다.
'잠깐 화장실 다녀온 사이에 애들이 벽지에 매직으로 그림을 그려놨어요. 전세집인데... 집주인 아주머니 얼굴이 떠오릅니다.'
아이고... 댁에 리틀 피카소가 살고 있었네요. 혼낼 수도 없고 참 난감하시겠습니다. 일단 아이들한텐 잘 그렸다고 칭찬해주시고, 집주인분께는 최대한 정중하게 말씀드려 봐야죠. 슈퍼맘님, 오늘 밤엔 육아 퇴근하시고 시원한 맥주 한 잔 꼭 드세요. 고생하셨습니다."
A-08,라디오 사연,TRUE,A-08,"자, 이번엔 4444님이 보내주셨네요.
'퇴근길 횡단보도 건너편에 저랑 똑같이 생긴 사람이 서 있었어요. 옷차림부터 가방까지요. 근데 신호가 바뀌었는데도 안 건너고, 저를 보며 웃고 있더라고요.'
자신과 똑같은 사람을 세 번 만나면 죽는다는 이야기, 들어보셨죠? 그런데 그거 아세요? 원래 가짜는 진짜를 만나면 웃음을 참지 못한대요. 이제 곧 자기가 진짜가 될 수 있으니까, 너무 기쁜 거죠. 4444님, 오늘 현관 비밀번호 꼭 바꾸세요. 그 사람이 먼저 들어가 버리면, 그때부터는 4444님이 세상에서 지워지는 겁니다."
A-09,라디오 사연,TRUE,A-09,"강남구 K님의 사연입니다.
'윗집에서 매일 새벽 2시만 되면 무거운 자루를 질질 끄는 소리가 들려요. 쿵, 쿵, 하고요. 근데 윗집은 3년째 비어있거든요.'
관리실 정보가 좀 늦네요. 비어있는 게 아니라... 산 사람이 안 사는 거겠죠. 그분도 새벽에 이사하시느라 얼마나 힘들겠어요. 다리 한 짝 없는 몸으로 무거운 걸 끌고 다니려니 소리가 날 수밖에요. 오늘 밤엔 올라가서 좀 도와드리세요. 혹시 알아요? 고맙다고 그 자루 안에 K님을 넣어줄지. 이웃끼리 돕고 살아야죠."
A-10,라디오 사연,TRUE,A-10,"마지막은 '당근주세용' 님의 사연이네요.
'앤틱 전신 거울을 중고로 샀는데, 기분 탓인지 거울 속 제 표정이 저보다 0.5초 늦게 움직여요. 제가 안 웃는데 거울 속 저는 미소 짓고 있고요.'
흠... 득템하셨네요. 요즘 보기 드문 '자아 있는 거울'인 것 같습니다. 그 친구가 아직 로딩 중인가 봐요. 너무 놀라지 마시고, 오늘 밤 불 다 끄고 거울 앞에서 가위바위보 한번 해보세요. 만약 거울 속 친구가 이기면... 음, 그땐 그 친구가 님의 몸을 차지하러 나올 테니, 뒤도 돌아보지 말고 도망치셔야겠죠? 노래 듣고 오겠습니다."
A-11,라디오 사연,TRUE,A-11,"이번엔 '냥이집사' 님의 사연입니다. 
'디제이님, 저희 집 고양이가 자꾸 허공을 보고 하악질을 해요. 아무것도 없는 구석인데 털을 바짝 세우고 경계하네요. 벌레라도 있는 걸까요?' 
하하, 고양이들은 참 예민하죠. 우리 눈에 안 보이는 작은 친구들을 잘 보잖아요. 그런데 집사님, 고양이가 구석을 보고 짖는 건 괜찮아요. 정말 무서운 건, 고양이가 집사님 바로 뒤통수를 보고 하악질을 할 때죠. 만약 지금 그렇다면... 절대 뒤돌아보지 마시고 그냥 눈 감으세요. 그것과 눈이 마주치면 고양이도 집사님을 못 지켜주거든요."
A-12,라디오 사연,TRUE,A-12,"마포구에서 J님이 보내주셨네요. 
'새벽에 물 마시러 나왔는데, 현관 센서등이 자꾸 혼자 켜졌다 꺼졌다 해요. 바람 때문일까요? 무서워서 잠이 다 깼어요.' 
아이고, 센서등이 너무 예민한가 보네요. 아니면 J님을 반겨주고 싶었나 봐요. 긍정적으로 생각하세요. 집에 J님 말고 또 다른 입주민이 계신 거죠. 그분도 밤에 산책 나가시려나 봅니다. 다음에 또 불이 켜지면, 허공에 대고 '안녕히 다녀오세요' 하고 인사 한번 건네보세요. 혹시 알아요? 그분이 고맙다고 J님 잘 때 머리카락이라도 쓰다듬어 주실지."
A-13,라디오 사연,TRUE,A-13,"다음은 'ASMR' 님 사연입니다. 
'자고 일어났는데 수면 앱에 이상한 소리가 녹음됐어요. 저는 혼자 사는데, 낯선 남자가 중얼거리는 소리가 10분 넘게 찍혀 있네요. 잠꼬대겠죠?' 
음~ 잠꼬대치고는 너무 길었나 보네요. 그런데 'ASMR' 님, 그거 삭제하지 마세요. 잘 들어보면 숫자를 세고 있는 걸 수도 있거든요. 그 숫자가 다 끝나면 J님을 깨우러 올 텐데... 굳이 미리 알고 깰 필요는 없잖아요? 오늘은 이어폰 꽂고 주무시는 게 좋겠습니다. 꿀잠 주무세요."
A-14,라디오 사연,TRUE,A-14,"아이디 '야근요정' 님입니다. 
'퇴근하고 혼자 엘리베이터를 탔는데, 문이 닫히다가 다시 열리면서 '정원 초과입니다' 안내 멘트가 나왔어요. 저 혼자 탔는데 말이죠. 결국 계단으로 올라왔습니다.' 
저런, 많이 피곤해서 몸이 무거우셨나 봅니다. 그런데 센서는 거짓말을 안 하잖아요. 아마 퇴근길에 야근요정님 어깨 위에 무임승차한 친구들이 꽤 많았나 봐요. 계단으로 오길 잘하셨네요. 그 친구들은 좁은 곳을 좋아해서, 엘리베이터 문이 닫혔으면 아마 숨 막히게 꽉 껴안았을 텐데. 운동했다 생각하고 푹 쉬세요."
A-15,라디오 사연,TRUE,A-15,"마지막은 '베스트드라이버' 님 사연이네요. 
'첫 차로 중고차를 샀습니다. 그런데 네비게이션 '최근 목적지' 목록에 저수지랑 공동묘지만 수십 개가 찍혀 있어요. 전 차주 취향이 독특했나 봐요.' 
아~ 낚시나 캠핑 좋아하시는 분이었나 봅니다. 낭만 있네요. 그런데 그거 지우지 마세요. 가끔 차가 주인 의지와 상관없이 익숙한 길로 가려고 할 때가 있거든요. 졸음운전 하다가 눈 떠보니 저수지 앞이면 곤란하잖아요? 차랑 잘 타협해서 안전 운전하시길 바랍니다. 핸들 꽉 잡으시고요."
A-16,라디오 사연,TRUE,A-16,"5519님, 지금 막차 안에서 사연 보내주셨네요. '안내방송이 이상해요. 이번 역은 왼팔 역, 다음 역은 2008년 역. 주변 사람들은 아무렇지 않게 내리는데, 내린 자리에는 옷가지만 덩그러니 남아요. 저 지금 너무 무서운데 그냥 이번 역에 내려도 될까요?'
안 됩니다. 5519님, 지금 내리시면 당신의 일부를 그 칸에 영원히 두고 내리게 될 거예요. 그 열차는 당신이 가진 것을 통행료로 받거든요. 팔이나 다리, 혹은 당신의 가장 찬란했던 기억을 내주고 싶지 않다면. 차라리 병을 선택하세요. 곧 안내방송에서 당신이 평소에 앓지 않던 질병의 이름이 나올 겁니다. 감기든, 고열이든 상관없어요. 그 고통이 당신을 현실로 돌려보내 줄 유일한 티켓이니까요. 아, 열차가 커브를 돌 때는 절대 일어서지 마세요. 발이 바닥에 붙어있지 않으면, 열차는 당신을 주인 없는 짐으로 분류해버릴지도 모르니까요."
A-17,라디오 사연,TRUE,A-17,"0721님이 아주 힘겹게 보내주신 고백입니다. '보드게임을 시작했을 뿐인데, 우린 그 놀이공원 안에 갇혔습니다. 친구 한 명이 무서워서 울음을 터뜨리는 순간. 공기 중에서 나타난 입들이 친구를 집어삼켰어요. 우린 서로의 손목을 팔찌로 이은 채 5미터도 떨어지지 못하고 기어 다녔습니다. 겨우 도장을 다 찍고 돌아왔지만, 제 방 안에는 아직도 그곳에서 사 온 봉제 인형이 놓여있어요. 가끔 밤마다 인형 안에서 친구의 목소리가 들리는 것 같아요.'
인형 안에서 목소리가 들린다고요? 0721님, 그건 환청이 아닐 겁니다. 그곳의 기념품들은 원래 손님들의 가장 소중한 '재료'로 만들어지거든요. 그 팔찌, 절대 스스로 끊지 마세요. 5미터라는 거리는 당신과 친구들의 생명줄이었으니까요. 그리고 인형은 그냥 방치하세요. 배를 갈라 확인하려 들지 마시고요. 이미 인형이 된 친구가 당신의 손길을 '공격'으로 오해하면 곤란하니까요. 그 게임 박스, 아직 거실에 있나요? 그렇다면 절대 다시 열지 마세요. 이번엔 당신이 인형의 속이 될 차례일 수도 있으니까요."
A-18,라디오 사연,TRUE,A-18,"8810님이 보내주신 사연입니다. '내비게이션 어플을 따라 걷는데 골목 상인들이 자꾸 제 정보를 알고 있는 것처럼 말을 걸어요. 죽은 친척 얼굴이 든 액자를 사라고 하질 않나, 신으면 못 벗을 것 같은 슬리퍼를 내밀질 않나. 너무 무서워서 어플을 끄고 싶은데 손가락이 안 움직여요. 저 어떡하죠?'
8810님, 너무 애쓰지 마세요. 그 어플은 원래 한 번 켜면 사용자가 종료할 수 없게 설계되어 있거든요. 그 화살표요? 그건 나가는 길을 알려주는 게 아니라, 당신이 얼마나 더 깊은 곳까지 버티며 걸어 들어가는지 측정하는 눈금 같은 거예요. 상인들이 내미는 액자 속 얼굴들은. 아마 지금쯤 8810님을 아주 많이 그리워하고 있을 겁니다. 그들이 당신의 이름을 부르는 건 이미 당신이 그들의 '이웃'이 되었다는 뜻이겠죠. 비릿한 고기 냄새가 나는 골목에 들어서셨나요? 축하드려요. 이제 곧 당신도 그 풍경의 일부가 되겠네요. 해가 지고 나면 그 골목이 8810님을 어떻게 '정리'할지, 저도 참 궁금해집니다. 부디 그 과정이 너무 고통스럽지는 않길 바랄게요."
A-19,라디오 사연,TRUE,A-19,"6624님이 보내주신 기록입니다. '동료와 장난삼아 문을 두드리고 들어간 게 화근이었을까요. 밤새 갇혀 시계만 보고 있는데, 동료의 목 관절이 기이한 각도로 꺾이며 저를 보더군요. 비명을 지르고 싶었지만, 전 아무것도 못 본 척 업무 이야기만 계속했습니다. 아침이 되어 문이 열렸을 때 우린 함께 걸어 나왔지만. 전 알고 있습니다. 가끔 제 동료가 무의식중에 입꼬리를 귀 옆까지 비틀며 웃는다는걸요.'
6624님, 참 훌륭한 동료를 두셨네요. 끝까지 모르는 척해주신 덕분에 그 기이한 존재도 당신의 자리를 뺏지 않고 얌전히 동료의 역할에 만족한 모양입니다. 그 방 안에서 누가 진짜고 누가 가짜인지 구분하는 건 사실 아무 의미가 없습니다. 어차피 문이 열릴 때 밖으로 나오는 건, 가장 '인간답게' 연기하는 쪽이니까요. 지금 옆에 앉아있는 그 친구가... 정말 당신과 함께 문을 두드리고 들어갔던 그 사람이라고 확신하시나요?"
A-20,라디오 사연,TRUE,A-20,"9001님이 보내주신 사연입니다. '분명 마트에 가려고 집을 나섰는데, 정신을 차려보니 거대한 전시장 앞이에요. 도망치려고 아무리 골목을 돌아도 결국 다시 그 전시장 문 앞이더라고요. 홀린 듯 들어가니 안내원이라는 분이 자꾸 제 눈이 나빠 보인다며 따라와요. 안내원이라기엔 그분의 얼굴이 기괴해서 무서워요. 비상구 표시를 따라가도 계속 전시장 중앙으로만 돌아오는데, 저 나갈 수 있을까요?'
9001님, 정말 대단한 행운아시네요. 그 전시회는 아무나 갈 수 있는 곳이 아니거든요. 어디로 향하든 결국 그곳에 도착하게 되어 있다면, 그건 당신이 아주 특별한 손님으로 선택받았다는 뜻입니다. 그곳의 안내원분들에게 무례하게 굴지는 마세요. 비록 기억력이 좀 나쁘고 외형이 생소할 순 있어도, 아주 유서 깊은 예술품들이니까요. 눈을 좀 잃는 게 뭐 대수인가요? 공짜로 빌려주는 기기들이 아주 성능이 좋다던데, 이번 기회에 사람이 아닌 것들의 시각을 한번 가져보시는 것도 나쁘지 않을 거예요. 비상구 유도등은 그냥 전시장 분위기를 돋우는 인테리어라고 생각하세요. 어차피 그 진귀한 수집품들 사이에 9001님의 자리도 이미 마련되어 있을 텐데, 굳이 밖으로 나갈 이유가 있을까요?"
A-21,라디오 사연,TRUE,A-21,"9904님이 보내주신 사연입니다. '디제이님, 밀물 때 바닷가에 나갔다가 이상한 노래를 들었어요. 친구가 바위에 붙은 끈적한 걸 만지더니 그때부터 바다만 멍하니 보고 있네요. 저도 그 노래가 자꾸 머릿속에서 맴도는데, 친구를 데리고 빨리 이곳을 벗어나야 할까요? 자꾸만 바다 밑으로 내려가고 싶어요.'
9904님, 그 노래 참 아름답죠? 하지만 그 멜로디가 들릴 땐 30초 정도 눈을 감는 게 예의랍니다. 다시 눈을 떴을 때 세상이 좀 변해있어도, 그게 그 도시의 진짜 모습이니 너무 놀라지는 마시고요. 그곳에서 다시 지상으로 올라오고 싶다면 티켓을 미리 준비해두세요. 날카로운 무언가로 살아있는 것의 꼬리를 하나 확보해두는 게 좋을 겁니다. 원래 그곳의 탈출구는 본인의 몸 일부를 바쳐야 열리도록 설계되어 있지만, 다행히 그 기계는 남의 꼬리를 내밀어도 눈치채지 못할 만큼 멍청하거든요."
B-01,교통정보,FALSE,B-01,"안녕교통정보센터입니다. 월요일 아침 출근길, 예상대로 곳곳에서 정체가 빚어지고 있습니다. 올림픽대로 강남 방향, 여의하류 나들목에서 반포 대교까지 차량이 꼬리에 꼬리를 물고 있습니다. 가양 대교 남단 부근은 지체와 서행을 반복하고 있으니, 이 구간 지나시는 분들은 안전운전 하시기 바랍니다. 서울 시내 진입 구간은 평소보다 20분 이상 더 소요될 것으로 보입니다."
B-02,교통정보,FALSE,B-02,"현재 경부고속도로 부산 방향, 기흥 동탄 나들목 부근 1차로에 승용차 추돌 사고가 있었습니다. 지금은 사고 처리 막바지 작업 중이라 갓길로 차량을 유도하고 있는데요. 구경하는 차량들 때문에 후방 3km 구간 극심한 정체를 보이고 있습니다. 안전거리를 넉넉히 확보하시고, 전방 주시 철저히 해주시기 바랍니다."
B-03,교통정보,FALSE,B-03,"밤사이 내린 비로 도로가 많이 미끄럽습니다. 현재 강변북로 구리 방향, 난지 캠핑장 부근부터 시야 확보가 어렵고 노면이 젖어있어 서행하고 있습니다. 안개도 짙게 껴 있어 가시거리가 100m도 채 되지 않으니, 평소보다 50% 감속 운행하시고 반드시 전조등과 안개등을 켜주시기 바랍니다."
B-04,교통정보,TRUE,B-04,"증권가 및 여의도 주변 교통 상황입니다. 현재 상승 고가도로 진입로가 전면 통제되고 있습니다. 차트상으로는 뚫릴 것처럼 보였던 구간이지만, 실제로는 노면이 급격히 꺼지는 급경사 내리막이 이어집니다. 지금 무리하게 진입하시면 브레이크가 듣지 않습니다. 차라리 갓길에 정차하고 엔진을 끄십시오. 흐름이 멈출 때까지 움직이지 않는 것이 유일한 방어 운전입니다."
B-05,교통정보,TRUE,B-05,테헤란로 업무 지구 상황입니다. 목적지인 정상까지 가는 1차로는 현재 검은색 대형 세단들이 무리지어 길을 막고 있습니다. 앞차와의 간격이 좁아 추월이 불가능합니다. 깜빡이를 켜도 비켜주지 않을 겁니다. 지금 억지로 끼어들려다간 차체가 완전히 부서질 수 있습니다. 속도를 줄이고 하위 차선으로 빠지십시오. 오늘은 앞차의 뒤를 조용히 따라가는 게 가장 빠른 길입니다.
B-06,교통정보,TRUE,B-06,긴급 도로 정보입니다. 현재 국도 우회 도로 표지판에 지름길이라고 표시된 구간이 있습니다. 내비게이션상으로는 도착 시간이 단축되는 것으로 나오지만 교통정보국에서 확인한 결과 데이터 오류입니다. 해당 경로는 지도가 끊겨 있는 절벽으로 연결됩니다. 화려한 네온사인 표지판에 현혹되지 마십시오. 비포장도로로 안내되더라도 오던 길로 계속 가셔야 합니다. 핸들 꺾지 마십시오.
B-07,교통정보,TRUE,B-07,"도로 안전 캠페인입니다. 청취자 여러분, 혹시 룸미러를 확인하신 지 얼마나 되셨습니까? 지금 귀하의 차량 뒤, 회색 승합차가 안전거리 미확보 상태로 15분째 따라붙고 있습니다. 차선을 변경해도 똑같이 이동한다면, 이것은 절대 우연이 아닙니다. 목적지를 자택으로 찍지 마십시오. 내비게이션을 끄고 가장 가까운 파출소로 경로를 재탐색하시기 바랍니다."
B-08,교통정보,TRUE,B-08,퇴근길 정체 구간 안내입니다. 현재 귀하의 거주지 진입로와 주차 공간이 만차 상태입니다. 등록되지 않은 낯선 차량이 귀하의 자리에 이미 주차되어 있습니다. 차주는 아직 차 안에 탑승 중인 것으로 보입니다. 지금 진입하시면 접촉 사고를 피할 수 없습니다. 오늘 밤은 진입을 포기하고 외부 숙박 시설로 우회하십시오. 빈 자리가 날 때까지 돌아가시면 안 됩니다.
B-09,교통정보,TRUE,B-09,"고속도로 졸음 쉼터 이용 안내입니다. 현재 청취자님은 본인이 깨어있는 상태라고 착각하고 계십니다. 방금 지나온 지난 5km 구간이 풍경이 기억나십니까? 기억이 없으실 겁니다. 현재 귀하는 습관적으로 가속 페달만 밟고 있는 가사 상태입니다. 지금 눈앞에 보이는 목적지는 환각이나 착각일 가능성이 높습니다. 당장 갓길에 차를 세우십시오. 이대로 계속 가시면, 정말로 영원히 잠들게 됩니다."
B-10,교통정보,TRUE,B-10,교차로 신호 체계 긴급 점검 중입니다. 현재 전방 교차로 중 오직 청취자님의 차선에만 녹색 신호가 들어와 있을 겁니다. 남들은 다 멈춰있는데 나에게만 기회가 왔다고 생각하지 마십시오. 시스템 오류로 켜진 죽음의 신호입니다. 지금 출발하시면 교차로 좌우에서 달려오는 대형 트레일러와 충돌합니다. 파란불을 믿지 마십시오. 남들이 멈춰있는 데는 이유가 있습니다. 브레이크 밟으세요.